Arquitetura;Precisão;duration;emissions;emissions_rate;cpu_power;gpu_power;ram_power;cpu_energy;gpu_energy;ram_energy;energy_consumed
AlexNet;FP32;2038,304437;0,009951569;4,88228E-06;25,20608166;128,3651974;5,740283489;0,015211687;0,082726472;0,003249144;0,101187303
AlexNet;FP32;2037,420387;0,009352308;4,59027E-06;25,14374913;152,0218052;5,740283489;0,014162485;0,077683851;0,003247701;0,095094037
AlexNet;FP32;2036,540802;0,009879032;4,85089E-06;25,21764047;165,8921451;5,740283489;0,014197844;0,083005631;0,003246274;0,10044975
AlexNet;FP32;2038,002659;0,009867434;4,84172E-06;25,24178785;144,7470543;5,740283489;0,014206353;0,082876861;0,003248612;0,100331825
AlexNet;FP32;2035,715167;0,009904891;4,86556E-06;25,10569576;154,161501;5,740283489;0,014117445;0,083350285;0,003244954;0,100712684
AlexNet;FP32;2035,070059;0,009917776;4,87343E-06;25,2090351;161,4150112;5,740283489;0,01417723;0,083422503;0,00324397;0,100843703
AlexNet;FP32;2115,107871;0,009888584;4,67522E-06;37,685066;0;5,740283489;0,015825885;0,081349718;0,003371273;0,100546876
AlexNet;FP32;2040,61307;0,009382848;4,59805E-06;24,64688029;175,2626604;5,740283489;0,014373376;0,077778446;0,003252746;0,095404568
AlexNet;FP32;2034,981702;0,009380716;4,60973E-06;25,24394127;157,6605555;5,740283489;0,014191293;0,077947997;0,003243596;0,095382886
AlexNet;FP32;2037,577852;0,009359212;4,5933E-06;25,19873351;114,2770921;5,740283489;0,014207484;0,077708789;0,00324796;0,095164232
AlexNet;FP16;2014,08796;0,009866355;4,89867E-06;25,24171282;141,8924329;5,740276337;0,015322311;0,081787962;0,003210574;0,100320847
AlexNet;FP16;2013,708567;0,00975627;4,84493E-06;25,31775839;130,3015344;5,740276337;0,013985976;0,082005605;0,003209925;0,099201506
AlexNet;FP16;2013,8672;0,009740107;4,83652E-06;25,47739492;138,2876594;5,740276337;0,014044054;0,081782909;0,003210203;0,099037166
AlexNet;FP16;2012,577023;0,009822711;4,88066E-06;25,65581755;143,2405045;5,740276337;0,01471548;0,081953453;0,00320815;0,099877083
AlexNet;FP16;2013,333067;0,009737032;4,83627E-06;25,52689842;147,388068;5,740276337;0,014010995;0,08178554;0,003209359;0,099005895
AlexNet;FP16;2013,872168;0,009770057;4,85138E-06;25,4962358;185,4320539;5,740276337;0,014041241;0,082090282;0,003210173;0,099341696
AlexNet;FP16;2013,761876;0,009438604;4,68705E-06;25,51387576;132,0888505;5,740276337;0,014048045;0,078713424;0,003210017;0,095971486
AlexNet;FP16;2013,316693;0,00945904;4,69824E-06;25,51350184;138,2540116;5,740276337;0,014015435;0,078954518;0,00320933;0,096179283
AlexNet;FP16;2013,14951;0,009405597;4,67208E-06;25,60862655;163,9924519;5,740276337;0,014024767;0,078402066;0,003209043;0,095635876
AlexNet;FP16;2013,419644;0,009434533;4,68583E-06;25,56213856;181,0787548;5,740276337;0,014005549;0,078715021;0,003209522;0,095930092
