Arquitetura;Precisão;Perda Treino;Acurácia Treino;Perda Validação;Acurácia Validação;Tempo Treino (s);Consumo médio de energia (W);Emissões médias (kg CO₂)
VGG;FP32;0,00005474;0,99997500;1,31667637;0,86340000;2051,42152500;3948,66700000;0,00937588
VGG;FP32;0,00002835;0,99998750;1,39068999;0,86360000;2051,70521100;3935,01300000;0,00932487
VGG;FP32;0,00001980;0,99999167;1,38826927;0,86300000;2051,07324733;3934,57800000;0,00933160
VGG;FP32;0,00001579;0,99999375;1,39160138;0,86190000;2049,81346900;3934,30850000;0,00930572
VGG;FP32;0,00001575;0,99999500;1,38909281;0,86212000;2049,23849680;3933,47980000;0,00929307
VGG;FP32;0,00002161;0,99999167;1,36213161;0,86246667;2048,97600617;3932,84266667;0,00928375
VGG;FP32;0,00005295;0,99998571;1,35698953;0,86277143;2048,89110371;3932,75914286;0,00927814
VGG;FP32;0,00004693;0,99998750;1,35567188;0,86322500;2049,08000750;3931,59212500;0,00927622
VGG;FP32;0,00005701;0,99998611;1,35113867;0,86304444;2048,92239189;3931,72500000;0,00927279
VGG;FP32;0,00005178;0,99998750;1,34917238;0,86301000;2048,73476840;3932,71260000;0,00926771
VGG;FP16;0,003468914;0,999625;2,583781302;0,857;1909,223151;3541,844;0,0085497
VGG;FP16;0,001810169;0,9998;2,554439376;0,86195;1909,608361;3530,055;0,008461172
VGG;FP16;0,00133955;0,99985;2,629101609;0,860533333;1909,533325;3525,265;0,008433443
VGG;FP16;0,001351557;0,9998375;2,64187365;0,8598;1910,447339;3523,94625;0,008416116
VGG;FP16;0,002423718;0,999725;2,563080724;0,8605;1910,740007;3523,8776;0,008412476
VGG;FP16;0,002036917;0,999766667;2,540243929;0,861583333;1910,778158;3523,864;0,008408317
VGG;FP16;0,001964636;0,999782143;2,54105634;0,861371429;1910,7472;3522,441429;0,008403059
VGG;FP16;0,002240202;0,999746875;2,514510902;0,861475;1910,885547;3522,892375;0,008404352
VGG;FP16;0,002100108;0,999763889;2,522293147;0,861388889;1910,897036;3523,02;0,008401641
VGG;FP16;0,002042667;0,999775;2,53341619;0,86138;1910,925475;3523,1994;0,00839925
