Arquitetura;Precisão;Acurácia Teste;Precisão Teste;Recall Teste;F1 Score Teste;Tempo Teste (s);Consumo médio de energia (W);Emissões médias (kg CO₂)
ResNet;FP32;0,8726;0,872377635;0,8726;0,87236485;5,861732;22658,506;2,36707E-05
ResNet;FP32;0,8676;0,867417406;0,8676;0,867348635;5,834372;22324,572;3,38496E-05
ResNet;FP32;0,8707;0,870545944;0,8707;0,870546033;5,836842;22564,335;3,11522E-05
ResNet;FP32;0,8706;0,870229456;0,8706;0,870310758;5,830151;22369,94;3,02331E-05
ResNet;FP32;0,8713;0,870996744;0,8713;0,871038574;5,845915;22097,644;2,50886E-05
ResNet;FP32;0,8708;0,870634361;0,8708;0,870609845;5,841246;22359,349;3,37756E-05
ResNet;FP32;0,8721;0,871889695;0,8721;0,871900227;5,858575;22061,627;2,8178E-05
ResNet;FP32;0,8697;0,869551872;0,8697;0,869508837;5,843636;22558,84;2,87204E-05
ResNet;FP32;0,871;0,870799113;0,871;0,870812384;5,828957;22154,917;3,40336E-05
ResNet;FP32;0,8701;0,869995101;0,8701;0,869921098;5,83815;22405,922;3,04549E-05
ResNet;FP16;0,8623;0,862613807;0,8623;0,862371845;3,806993;20383,644;1,66085E-05
ResNet;FP16;0,8627;0,86299804;0,8627;0,862768334;3,817571;20291,757;2,36756E-05
ResNet;FP16;0,8636;0,863949518;0,8636;0,863698161;3,811541;20059,484;2,15169E-05
ResNet;FP16;0,8621;0,862756644;0,8621;0,862294253;3,820229;19880,524;1,92099E-05
ResNet;FP16;0,8642;0,864775747;0,8642;0,864361917;3,808327;20274,271;2,18068E-05
ResNet;FP16;0,863;0,863429762;0,863;0,863086745;3,812963;20098,675;2,33811E-05
ResNet;FP16;0,8643;0,864689409;0,8643;0,864399469;3,805307;20237,62;1,73874E-05
ResNet;FP16;0,8634;0,863827198;0,8634;0,863531291;3,807365;20703,764;1,3859E-05
ResNet;FP16;0,8651;0,865635803;0,8651;0,86530254;3,830242;20250,215;2,21927E-05
ResNet;FP16;0,8634;0,86415676;0,8634;0,863673251;3,823882;20271,021;2,09117E-05
